黑龙江省,哈尔滨市,黑龙江省,双江拉祜族佤族布朗族傣族自治县,云南省,临沧市,双江拉祜族佤族布朗族傣族自治县,,,
吉林省,黑河市,黑龙江省,积石山保安族东乡族撒拉族自治县,甘肃省,临夏回族自治州,积石山保安族东乡族撒拉族自治县,,,
辽宁省,伊春市,黑龙江省,镇沅彝族哈尼族拉祜族自治县,云南省,普洱市,镇沅彝族哈尼族拉祜族自治县,,,
北京市,齐齐哈尔市,黑龙江省,元江哈尼族彝族傣族自治县,云南省,玉溪市,元江哈尼族彝族傣族自治县,,,
天津,鹤岗市,黑龙江省,孟连傣族拉祜族佤族自治县,云南省,普洱市,孟连傣族拉祜族佤族自治县,,,
河北省,佳木斯市,黑龙江省,威宁彝族回族苗族自治县,贵州省,毕节地区,威宁彝族回族苗族自治县,,,
山西省,双鸭山市,黑龙江省,前郭尔罗斯蒙古族自治县,吉林省,松原市,前郭尔罗斯蒙古族自治县,,,
内蒙古自治区,绥化市,黑龙江省,莫力达瓦达斡尔族自治旗,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,,,
江苏省,大庆市,黑龙江省,喀喇沁左翼蒙古族自治县,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县,,,
浙江省,七台河市,黑龙江省,金平苗族瑶族傣族自治县,云南省,红河哈尼族彝族自治州,金平苗族瑶族傣族自治县,,,
安徽省,鸡西市,黑龙江省,紫云苗族布依族自治县,贵州省,安顺市,紫云苗族布依族自治县,,,
福建省,牡丹江市,黑龙江省,镇宁布依族苗族自治县,贵州省,安顺市,镇宁布依族苗族自治县,,,
江西省,绥芬河市,黑龙江省,酉阳土家族苗族自治县,重庆,重庆市,酉阳土家族苗族自治县,,,
山东省,长春市,吉林省,酉阳土家族苗族自治县,四川省,成都市,酉阳土家族苗族自治县,,,
台湾,白城市,吉林省,印江土家族苗族自治县,贵州省,铜仁地区,印江土家族苗族自治县,,,
河南省,松原市,吉林省,秀山土家族苗族自治县,重庆,重庆市,秀山土家族苗族自治县,,,
湖北省,吉林市,吉林省,务川仡佬族苗族自治县,贵州省,遵义市,务川仡佬族苗族自治县,,,
湖南省,四平市,吉林省,围场满族蒙古族自治县,河北省,承德市,围场满族蒙古族自治县,,,
广东省,辽源市,吉林省,彭水苗族土家族自治县,重庆,重庆市,彭水苗族土家族自治县,,,
广西壮族自治区,白山市,吉林省,宁洱哈尼族彝族自治县,云南省,普洱市,宁洱哈尼族彝族自治县,,,
海南省,通化市,吉林省,兰坪白族普米族自治县,云南省,怒江傈僳族自治州,兰坪白族普米族自治县,,,
四川省,延边朝鲜族自治州,吉林省,江城哈尼族彝族自治县,云南省,普洱市,江城哈尼族彝族自治县,,,
重庆市,沈阳市,辽宁省,和布克赛尔蒙古自治县,新疆维吾尔自治区,塔城地区,和布克赛尔蒙古自治县,,,
贵州省,铁岭市,辽宁省,关岭布依族苗族自治县,贵州省,安顺市,关岭布依族苗族自治县,,,
云南省,阜新市,辽宁省,贡山独龙族怒族自治县,云南省,怒江傈僳族自治州,贡山独龙族怒族自治县,,,
西藏自治区,抚顺市,辽宁省,杜尔伯特蒙古族自治县,黑龙江省,大庆市,杜尔伯特蒙古族自治县,,,
陕西省,本溪市,辽宁省,道真仡佬族苗族自治县,贵州省,遵义市,道真仡佬族苗族自治县,,,
甘肃省,辽阳市,辽宁省,阿克塞哈萨克族自治县,甘肃省,酒泉市,阿克塞哈萨克族自治县,,,
青海省,马鞍山市,安徽省,郑州经济技术开发区,河南省,郑州市,郑州经济技术开发区,,,
宁夏回族自治区,鞍山市,辽宁省,寻甸回族彝族自治县,云南省,昆明市,寻甸回族彝族自治县,,,
新疆维吾尔自治区,盘锦市,辽宁省,新平彝族傣族自治县,云南省,玉溪市,新平彝族傣族自治县,,,
上海,锦州市,辽宁省,巍山彝族回族自治县,云南省,大理白族自治州,巍山彝族回族自治县,,,
香港,葫芦岛市,辽宁省,琼中黎族苗族自治县,海南省,琼中黎族苗族自治县,琼中黎族苗族自治县,,,
澳门,营口市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,丹东市,辽宁省,民和回族土族自治县,青海省,海东地区,民和回族土族自治县,,,
,大连市,辽宁省,禄劝彝族苗族自治县,云南省,昆明市,禄劝彝族苗族自治县,,,
,北京市,北京,连山壮族瑶族自治县,广东省,清远市,连山壮族瑶族自治县,,,
,天津市,天津,靖州苗族侗族自治县,湖南省,怀化市,靖州苗族侗族自治县,,,
,石家庄市,河北省,景谷傣族彝族自治县,云南省,普洱市,景谷傣族彝族自治县,,,
,张家口市,河北省,耿马傣族佤族自治县,云南省,临沧市,耿马傣族佤族自治县,,,
,承德市,河北省,东侨经济技术开发区,福建省,宁德市,东侨经济技术开发区,,,
,唐山市,河北省,达尔罕茂明安联合旗,内蒙古自治区,包头市,达尔罕茂明安联合旗,,,
,秦皇岛市,河北省,保亭黎族苗族自治县,海南省,保亭黎族苗族自治县,保亭黎族苗族自治县,,,
,廊坊市,河北省,巴里坤哈萨克自治县,新疆维吾尔自治区,哈密地区,巴里坤哈萨克自治县,,,
,保定市,河北省,高新技术产业开发区,吉林省,长春市,高新技术产业开发区,,,
,沧州市,河北省,长阳土家族自治县,湖北省,宜昌市,长阳土家族自治县,,,
,衡水市,河北省,玉龙纳西族自治县,云南省,丽江市,玉龙纳西族自治县,,,
,西双版纳傣族自治州,云南省,太子河区,辽宁省,辽阳市,太子河区,,,,
,拉萨市,西藏自治区,太仆寺旗,内蒙古自治区,锡林郭勒盟,太仆寺旗,,,,
,日喀则市,西藏自治区,台儿庄区,山东省,枣庄市,台儿庄区,,,,
,西安市,陕西省,绥芬河市,黑龙江省,牡丹江市,绥芬河市,,,,
,榆林市,陕西省,苏家屯区,辽宁省,沈阳市,苏家屯区,,,,
,延安市,陕西省,松山新区,辽宁省,锦州市,松山新区,,,,
,铜川市,陕西省,四子王旗,内蒙古自治区,乌兰察布市,四子王旗,,,,
,渭南市,陕西省,四方台区,黑龙江省,双鸭山市,四方台区,,,,
,宝鸡市,陕西省,水磨沟区,新疆维吾尔自治区,乌鲁木齐市,水磨沟区,,,,
,咸阳市,陕西省,双台子区,辽宁省,盘锦市,双台子区,,,,
,商洛市,陕西省,石景山区,北京,北京市,石景山区,,,,
,汉中市,陕西省,石河子市,新疆维吾尔自治区,自治区直辖县,石河子市,,,,
,安康市,陕西省,狮子山区,安徽省,铜陵市,狮子山区,,,,
,广州市,广东省,沈北新区,辽宁省,沈阳市,沈北新区,,,,
,韶关市,广东省,上甘岭区,黑龙江省,伊春市,上甘岭区,,,,
,梅州市,广东省,山海关区,河北省,秦皇岛市,山海关区,,,,
,河源市,广东省,沙坡头区,宁夏回族自治区,中卫市,沙坡头区,,,,
,清远市,广东省,沙坪坝区,重庆,重庆市,沙坪坝区,,,,
,潮州市,广东省,沙河口区,辽宁省,大连市,沙河口区,,,,
,揭阳市,广东省,桑珠孜区,西藏自治区,日喀则市,桑珠孜区,,,,
,汕头市,广东省,萨尔图区,黑龙江省,大庆市,萨尔图区,,,,
,肇庆市,广东省,若尔盖县,四川省,阿坝藏族羌族自治州,若尔盖县,,,,
,惠州市,广东省,让胡路区,黑龙江省,大庆市,让胡路区,,,,
,佛山市,广东省,曲麻莱县,青海省,玉树藏族自治州,曲麻莱县,,,,
,东莞市,广东省,清水河县,内蒙古自治区,呼和浩特市,清水河县,,,,
,云浮市,广东省,清河门区,辽宁省,阜新市,清河门区,,,,
,汕尾市,广东省,青云谱区,江西省,南昌市,青云谱区,,,,
,江门市,广东省,青铜峡市,宁夏回族自治区,吴忠市,青铜峡市,,,,
,中山市,广东省,青山湖区,江西省,南昌市,青山湖区,,,,
,深圳市,广东省,红谷滩新区,江西省,南昌市,红谷滩新区,,,,
,珠海市,广东省,青白江区,四川省,成都市,青白江区,,,,
,阳江市,广东省,茄子河区,黑龙江省,七台河市,茄子河区,,,,
,茂名市,广东省,戚墅堰区,江苏省,常州市,戚墅堰区,,,,
,湛江市,广东省,七星关区,贵州省,毕节地区,七星关区,,,,
,成都市,四川省,七里河区,甘肃省,兰州市,七里河区,,,,
,广元市,四川省,普兰店市,辽宁省,大连市,普兰店市,,,,
,巴中市,四川省,浦东新区,上海,上海市,浦东新区,,,,
,绵阳市,四川省,聂拉木县,西藏自治区,日喀则市,聂拉木县,,,,
,德阳市,四川省,碾子山区,黑龙江省,齐齐哈尔市,碾子山区,,,,
,达州市,四川省,尼勒克县,新疆维吾尔自治区,伊犁哈萨克自治州,尼勒克县,,,,
,南充市,四川省,南沙群岛,海南省,南沙群岛,南沙群岛,,,,
,遂宁市,四川省,南沙群岛,海南省,三沙市,南沙群岛,,,,
,广安市,四川省,南木林县,西藏自治区,日喀则市,南木林县,,,,
,资阳市,四川省,门头沟区,北京,北京市,门头沟区,,,,
,眉山市,四川省,梅河口市,吉林省,通化市,梅河口市,,,,
,雅安市,四川省,满洲里市,内蒙古自治区,呼伦贝尔市,满洲里市,,,,
,内江市,四川省,麦盖提县,新疆维吾尔自治区,喀什地区,麦盖提县,,,,
,乐山市,四川省,玛纳斯县,新疆维吾尔自治区,昌吉回族自治州,玛纳斯县,,,,
,自贡市,四川省,马尔康县,四川省,阿坝藏族羌族自治州,马尔康县,,,,
,泸州市,四川省,麻栗坡县,云南省,文山壮族苗族自治州,麻栗坡县,,,,
,宜宾市,四川省,旅顺口区,辽宁省,大连市,旅顺口区,,,,
,攀枝花市,四川省,洛阳新区,河南省,洛阳市,洛阳新区,,,,
,重庆市,重庆,龙子湖区,安徽省,蚌埠市,龙子湖区,,,,
,乌鲁木齐市,新疆维吾尔自治区,龙泉驿区,四川省,成都市,龙泉驿区,,,,
,克拉玛依市,新疆维吾尔自治区,六枝特区,贵州省,六盘水市,六枝特区,,,,
,吐鲁番地区,新疆维吾尔自治区,梁子湖区,湖北省,鄂州市,梁子湖区,,,,
,哈密地区,新疆维吾尔自治区,冷水滩区,湖南省,永州市,冷水滩区,,,,
,昌吉回族自治州,新疆维吾尔自治区,冷水江市,湖南省,娄底市,冷水江市,,,,
,博尔塔拉蒙古自治州,新疆维吾尔自治区,类乌齐县,西藏自治区,昌都地区,类乌齐县,,,,
,巴音郭楞蒙古自治州,新疆维吾尔自治区,老河口市,湖北省,襄阳市,老河口市,,,,
,阿克苏地区,新疆维吾尔自治区,浪卡子县,西藏自治区,山南地区,浪卡子县,,,,
,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,兰州新区,甘肃省,兰州市,兰州新区,,,,
,喀什地区,新疆维吾尔自治区,昆都仑区,内蒙古自治区,包头市,昆都仑区,,,,
,和田地区,新疆维吾尔自治区,库尔勒市,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,,,,
,伊犁哈萨克自治州,新疆维吾尔自治区,科尔沁区,内蒙古自治区,通辽市,科尔沁区,,,,
,塔城地区,新疆维吾尔自治区,喀喇沁旗,内蒙古自治区,赤峰市,喀喇沁旗,,,,
,阿勒泰地区,新疆维吾尔自治区,九寨沟县,四川省,阿坝藏族羌族自治州,九寨沟县,,,,
,石河子市,新疆维吾尔自治区,九龙坡区,重庆,重庆市,九龙坡区,,,,
,阿拉尔市,新疆维吾尔自治区,井陉矿区,河北省,石家庄市,井陉矿区,,,,
,图木舒克市,新疆维吾尔自治区,井冈山市,江西省,吉安市,井冈山市,,,,
,五家渠市,新疆维吾尔自治区,金山屯区,黑龙江省,伊春市,金山屯区,,,,
,北屯市,新疆维吾尔自治区,金口河区,四川省,乐山市,金口河区,,,,
,铁门关市,新疆维吾尔自治区,金城江区,广西壮族自治区,河池市,金城江区,,,,
,双河市,新疆维吾尔自治区,尖草坪区,山西省,太原市,尖草坪区,,,,
,兰州市,甘肃省,嘉峪关市,甘肃省,嘉峪关市,嘉峪关市,,,,
,嘉峪关市,甘肃省,吉木乃县,新疆维吾尔自治区,阿勒泰地区,吉木乃县,,,,
,酒泉市,甘肃省,黄石港区,湖北省,黄石市,黄石港区,,,,
,张掖市,甘肃省,呼图壁县,新疆维吾尔自治区,昌吉回族自治州,呼图壁县,,,,
,金昌市,甘肃省,红寺堡区,宁夏回族自治区,吴忠市,红寺堡区,,,,
,武威市,甘肃省,红花岗区,贵州省,遵义市,红花岗区,,,,
,白银市,甘肃省,杭锦后旗,内蒙古自治区,巴彦淖尔市,杭锦后旗,,,,
,庆阳市,甘肃省,海拉尔区,内蒙古自治区,呼伦贝尔市,海拉尔区,,,,
,平凉市,甘肃省,海勃湾区,内蒙古自治区,乌海市,海勃湾区,,,,
,定西市,甘肃省,哈巴河县,新疆维吾尔自治区,阿勒泰地区,哈巴河县,,,,
,天水市,甘肃省,观山湖区,贵州省,贵阳市,观山湖区,,,,
,陇南市,甘肃省,共青城市,江西省,九江市,共青城市,,,,
,临夏回族自治州,甘肃省,公主岭市,吉林省,四平市,公主岭市,,,,
,甘南藏族自治州,甘肃省,弓长岭区,辽宁省,辽阳市,弓长岭区,,,,
,银川市,宁夏回族自治区,格尔木市,青海省,海西蒙古族藏族自治州,格尔木市,,,,
,石嘴山市,宁夏回族自治区,高碑店市,河北省,保定市,高碑店市,,,,
,吴忠市,宁夏回族自治区,甘井子区,辽宁省,大连市,甘井子区,,,,
,中卫市,宁夏回族自治区,峰峰矿区,河北省,邯郸市,峰峰矿区,,,,
,固原市,宁夏回族自治区,二道江区,吉林省,通化市,二道江区,,,,
,西宁市,青海省,鄂托克旗,内蒙古自治区,鄂尔多斯市,鄂托克旗,,,,
,海东地区,青海省,额济纳旗,内蒙古自治区,阿拉善盟,额济纳旗,,,,
,海北藏族自治州,青海省,峨眉山市,四川省,乐山市,峨眉山市,,,,
,黄南藏族自治州,青海省,独山子区,新疆维吾尔自治区,克拉玛依市,独山子区,,,,
,海南藏族自治州,青海省,都江堰市,四川省,成都市,都江堰市,,,,
,果洛藏族自治州,青海省,东西湖区,湖北省,武汉市,东西湖区,,,,
,玉树藏族自治州,青海省,东昌府区,山东省,聊城市,东昌府区,,,,
,海西市,青海省,德令哈市,青海省,海西蒙古族藏族自治州,德令哈市,,,,
,襄阳市,湖北省,丹江口市,湖北省,十堰市,丹江口市,,,,
,凉山彝族自治州,四川省,大武口区,宁夏回族自治区,石嘴山市,大武口区,,,,
,毕节地区,贵州省,大通湖区,湖南省,益阳市,大通湖区,,,,
,黔东南苗族侗族自治州,贵州省,大石桥市,辽宁省,营口市,大石桥市,,,,
,天门市,湖北省,大渡口区,重庆,重庆市,大渡口区,,,,
,仙桃市,湖北省,达拉特旗,内蒙古自治区,鄂尔多斯市,达拉特旗,,,,
,潜江市,湖北省,达坂城区,新疆维吾尔自治区,乌鲁木齐市,达坂城区,,,,
,铜仁地区,贵州省,城子河区,黑龙江省,鸡西市,城子河区,,,,
,大兴安岭地区,黑龙江省,曹妃甸区,河北省,唐山市,曹妃甸区,,,,
,德宏傣族景颇族自治州,云南省,布尔津县,新疆维吾尔自治区,阿勒泰地区,布尔津县,,,,
,黔南布依族苗族自治州,贵州省,滨海新区,天津,天津市,滨海新区,,,,
,神农架林区,湖北省,北戴河区,河北省,秦皇岛市,北戴河区,,,,
,阿坝藏族羌族自治州,四川省,白碱滩区,新疆维吾尔自治区,克拉玛依市,白碱滩区,,,,
,林芝地区,西藏自治区,鲅鱼圈区,辽宁省,营口市,鲅鱼圈区,,,,
,甘孜藏族自治州,四川省,巴林左旗,内蒙古自治区,赤峰市,巴林左旗,,,,
,文山壮族苗族自治州,云南省,巴林右旗,内蒙古自治区,赤峰市,巴林右旗,,,,
,琼中黎族苗族自治县,海南省,八公山区,安徽省,淮南市,八公山区,,,,
,海西蒙古族藏族自治州,青海省,八道江区,吉林省,白山市,八道江区,,已撤销，设浑江区,,
,儋州市,海南省,昂昂溪区,黑龙江省,齐齐哈尔市,昂昂溪区,,,,
,万宁市,海南省,阿瓦提县,新疆维吾尔自治区,阿克苏地区,阿瓦提县,,,,
,屯昌县,海南省,阿图什市,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿图什市,,,,
,琼海市,海南省,阿勒泰市,新疆维吾尔自治区,阿勒泰地区,阿勒泰市,,,,
,白沙黎族自治县,海南省,阿拉尔市,新疆维吾尔自治区,自治区直辖县,阿拉尔市,,,,
,定安县,海南省,阿克陶县,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,,,,
,五指山市,海南省,阿克苏市,新疆维吾尔自治区,阿克苏地区,阿克苏市,,,,
,保亭黎族苗族自治县,海南省,阿合奇县,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿合奇县,,,,
,澄迈县,海南省,阿尔山市,内蒙古自治区,兴安盟,阿尔山市,,,,
,文昌市,海南省,阿巴嘎旗,内蒙古自治区,锡林郭勒盟,阿巴嘎旗,,,,
,陵水黎族自治县,海南省,浑南新区,辽宁省,沈阳市,浑南新区,,,,
,东方市,海南省,金家庄区,安徽省,马鞍山市,金家庄区,已撤销金家庄区和花山区，设立花山区,,,
,昌江黎族自治县,海南省,桑珠孜区,西藏自治区,日喀则市,桑珠孜区,,,,
,临高县,海南省,保康县,湖北省,襄阳市,保康县,,,,
,三亚市,海南省,左云县,山西省,大同市,左云县,,,,
,迪庆藏族自治州,云南省,左权县,山西省,晋中市,左权县,,,,
,阿尔泰地区,新疆维吾尔自治区,左贡县,西藏自治区,昌都地区,左贡县,,,,
,那曲地区,西藏自治区,遵义县,贵州省,遵义市,遵义县,,,,
,乐东黎族自治县,海南省,遵化市,河北省,唐山市,遵化市,,,,
,昌都地区,西藏自治区,邹平县,山东省,滨州市,邹平县,,,,
,阿里地区,西藏自治区,邹城市,山东省,济宁市,邹城市,,,,
,山南地区,西藏自治区,紫阳县,陕西省,安康市,紫阳县,,,,
,廷安市,陕西省,紫金县,广东省,河源市,紫金县,,,,
,朝阳市,辽宁省,梓潼县,四川省,绵阳市,梓潼县,,,,
,香港,香港,秭归县,湖北省,宜昌市,秭归县,,,,
,澳门,澳门,子洲县,陕西省,榆林市,子洲县,,,,
,,,子长县,陕西省,延安市,子长县,,,,
,,,淄川区,山东省,淄博市,淄川区,,,,
,,,资中县,四川省,内江市,资中县,,,,
,,,资源县,广西壮族自治区,桂林市,资源县,,,,
,,,资阳区,湖南省,益阳市,资阳区,,,,
,,,资兴市,湖南省,郴州市,资兴市,,,,
,,,资溪县,江西省,抚州市,资溪县,,,,,,
,,,卓资县,内蒙古自治区,乌兰察布市,卓资县,,,,,,
,,,卓尼县,甘肃省,甘南藏族自治州,卓尼县,,,,,,
,,,涿州市,河北省,保定市,涿州市,,,,,,
,,,花山区,安徽省,马鞍山市,花山区,,,,,,
,,,涿鹿县,河北省,张家口市,涿鹿县,,,,,,
,,,庄浪县,甘肃省,平凉市,庄浪县,,,,,,
,,,庄河市,辽宁省,大连市,庄河市,,,,,,
,,,竹溪县,湖北省,十堰市,竹溪县,,,,,,
,,,竹山县,湖北省,十堰市,竹山县,,,,,,
,,,诸暨市,浙江省,绍兴市,诸暨市,,,,,,
,,,诸城市,山东省,潍坊市,诸城市,,,,,,
,,,株洲县,湖南省,株洲市,株洲县,,,,,,
,,,珠山区,江西省,景德镇市,珠山区,,,,,,
,,,珠晖区,湖南省,衡阳市,珠晖区,,,,,,
,,,周至县,陕西省,西安市,周至县,,,,,,
,,,周宁县,福建省,宁德市,周宁县,,,,,,
,,,周村区,山东省,淄博市,周村区,,,,,,
,,,舟曲县,甘肃省,甘南藏族自治州,舟曲县,,,,,,
,,,仲巴县,西藏自治区,日喀则市,仲巴县,,,,,,
,,,钟祥市,湖北省,荆门市,钟祥市,,,,,,
,,,钟山县,广西壮族自治区,贺州市,钟山县,,,,,,
,,,钟山区,贵州省,六盘水市,钟山区,,,,,,
,,,钟楼区,江苏省,常州市,钟楼区,,,,,,
,,,中站区,河南省,焦作市,中站区,,,,,,
,,,中原区,河南省,郑州市,中原区,,,,,,
,,,中阳县,山西省,吕梁市,中阳县,,,,,,
,,,中山市,广东省,中山市,中山市,,,,,,
,,,中山区,辽宁省,大连市,中山区,,,,,,
,,,中宁县,宁夏回族自治区,中卫市,中宁县,,,,,,
,,,中牟县,河南省,郑州市,中牟县,,,,,,
,,,中江县,四川省,德阳市,中江县,,,,,,
,,,中方县,湖南省,怀化市,中方县,,,,,,
,,,治多县,青海省,玉树藏族自治州,治多县,,,,,,
,,,志丹县,陕西省,延安市,志丹县,,,,,,
,,,织金县,贵州省,毕节地区,织金县,,,,,,
,,,枝江市,湖北省,宜昌市,枝江市,,,,,,
,,,芝罘区,山东省,烟台市,芝罘区,,,,,,
,,,政和县,福建省,南平市,政和县,,,,,,
,,,正阳县,河南省,驻马店市,正阳县,,,,,,
,,,正宁县,甘肃省,庆阳市,正宁县,,,,,,
,,,正蓝旗,内蒙古自治区,锡林郭勒盟,正蓝旗,,,,,,
,,,正定县,河北省,石家庄市,正定县,,,,,,
,,,正安县,贵州省,遵义市,正安县,,,,,,
,,,蒸湘区,湖南省,衡阳市,蒸湘区,,,,,,
,,,镇远县,贵州省,黔东南苗族侗族自治州,镇远县,,,,,,
,,,镇原县,甘肃省,庆阳市,镇原县,,,,,,
,,,镇雄县,云南省,昭通市,镇雄县,,,,,,
,,,镇坪县,陕西省,安康市,镇坪县,,,,,,
,,,镇平县,河南省,南阳市,镇平县,,,,,,
,,,镇赉县,吉林省,白城市,镇赉县,,,,,,
,,,镇康县,云南省,临沧市,镇康县,,,,,,
,,,镇海区,浙江省,宁波市,镇海区,,,,,,
,,,镇巴县,陕西省,汉中市,镇巴县,,,,,,
,,,镇安县,陕西省,商洛市,镇安县,,,,,,
,,,振兴区,辽宁省,丹东市,振兴区,,,,,,
,,,振安区,辽宁省,丹东市,振安区,,,,,,
,,,浈江区,广东省,韶关市,浈江区,,,,,,
,,,贞丰县,贵州省,黔西南布依族苗族自治州,贞丰县,,,,,,
,,,柘荣县,福建省,宁德市,柘荣县,,,,,,
,,,柘城县,河南省,商丘市,柘城县,,,,,,
,,,肇州县,黑龙江省,大庆市,肇州县,,,,,,
,,,肇源县,黑龙江省,大庆市,肇源县,,,,,,
,,,肇东市,黑龙江省,绥化市,肇东市,,,,,,
,,,诏安县,福建省,漳州市,诏安县,,,,,,
,,,召陵区,河南省,漯河市,召陵区,,,,,,
,,,昭阳区,云南省,昭通市,昭阳区,,,,,,
,,,昭苏县,新疆维吾尔自治区,伊犁哈萨克自治州,昭苏县,,,,,,
,,,昭平县,广西壮族自治区,贺州市,昭平县,,,,,,
,,,昭觉县,四川省,凉山彝族自治州,昭觉县,,,,,,
,,,昭化区,四川省,广元市,昭化区,,,,,,
,,,招远市,山东省,烟台市,招远市,,,,,,
,,,长子县,山西省,长治市,长子县,,,,,,
,,,长洲区,广西壮族自治区,梧州市,长洲区,,,,,,
,,,长治县,山西省,长治市,长治县,,,,,,
,,,长垣县,河南省,新乡市,长垣县,,,,,,
,,,长兴县,浙江省,湖州市,长兴县,,,,,,
,,,长武县,陕西省,咸阳市,长武县,,,,,,
,,,长汀县,福建省,龙岩市,长汀县,,,,,,
,,,长泰县,福建省,漳州市,长泰县,,,,,,
,,,长顺县,贵州省,黔南布依族苗族自治州,长顺县,,,,,,
,,,长寿区,重庆,重庆市,长寿区,,,,,,
,,,长沙县,湖南省,长沙市,长沙县,,,,,,
,,,长清区,山东省,济南市,长清区,,,,,,
,,,长宁县,四川省,宜宾市,长宁县,,,,,,
,,,长宁区,上海,上海市,长宁区,,,,,,
,,,长岭县,吉林省,松原市,长岭县,,,,,,
,,,长乐市,福建省,福州市,长乐市,,,,,,
,,,长海县,辽宁省,大连市,长海县,,,,,,
,,,长葛市,河南省,许昌市,长葛市,,,,,,
,,,长丰县,安徽省,合肥市,长丰县,,,,,,
,,,长岛县,山东省,烟台市,长岛县,,,,,,
,,,长白朝鲜族自治县,吉林省,白山市,长白朝鲜族自治县,,,,,,
,,,长安区,河北省,石家庄市,长安区,,,,,,
,,,长安区,陕西省,西安市,长安区,,,,,,
,,,樟树市,江西省,宜春市,樟树市,,,,,,
,,,漳浦县,福建省,漳州市,漳浦县,,,,,,
,,,漳平市,福建省,龙岩市,漳平市,,,,,,
,,,彰武县,辽宁省,阜新市,彰武县,,,,,,
,,,章丘市,山东省,济南市,章丘市,,,,,,
,,,章贡区,江西省,赣州市,章贡区,,,,,,
,,,张湾区,湖北省,十堰市,张湾区,,,,,,
,,,张店区,山东省,淄博市,张店区,,,,,,
,,,张北县,河北省,张家口市,张北县,,,,,,
,,,湛河区,河南省,平顶山市,湛河区,,,,,,
,,,站前区,辽宁省,营口市,站前区,,,,,,
,,,沾益县,云南省,曲靖市,沾益县,,,,,,
,,,沾化县,山东省,滨州市,沾化县,,,,,,
,,,柞水县,陕西省,商洛市,柞水县,,,,,,
,,,闸北区,上海,上海市,闸北区,,,,,,
,,,札达县,西藏自治区,阿里地区,札达县,,,,,,
,,,扎囊县,西藏自治区,山南地区,扎囊县,,,,,,
,,,增城区,广东省,广州市,增城区,,,,,,
,,,泽州县,山西省,晋城市,泽州县,,,,,,
,,,泽普县,新疆维吾尔自治区,喀什地区,泽普县,,,,,,
,,,泽库县,青海省,黄南藏族自治州,泽库县,,,,,,
,,,枣阳市,湖北省,襄阳市,枣阳市,,,,,,
,,,枣强县,河北省,衡水市,枣强县,,,,,,
,,,赞皇县,河北省,石家庄市,赞皇县,,,,,,
,,,杂多县,青海省,玉树藏族自治州,杂多县,,,,,,
,,,郓城县,山东省,菏泽市　　,郓城县,,,,,,
,,,运河区,河北省,沧州市,运河区,,,,,,
,,,郧西县,湖北省,十堰市,郧西县,,,,,,
,,,云阳县,四川省,成都市,云阳县,,,,,,
,,,云阳县,重庆,重庆市,云阳县,,,,,,
,,,云岩区,贵州省,贵阳市,云岩区,,,,,,
,,,云霄县,福建省,漳州市,云霄县,,,,,,
,,,云溪区,湖南省,岳阳市,云溪区,,,,,,
,,,云梦县,湖北省,孝感市,云梦县,,,,,,
,,,云龙县,云南省,大理白族自治州,云龙县,,,,,,
,,,云龙区,江苏省,徐州市,云龙区,,,,,,
,,,云和县,浙江省,丽水市,云和县,,,,,,
,,,云城区,广东省,云浮市,云城区,,,,,,
,,,云安县,广东省,云浮市,云安县,,,,,,
,,,越秀区,广东省,广州市,越秀区,,,,,,
,,,越西县,四川省,凉山彝族自治州,越西县,,,,,,
,,,越城区,浙江省,绍兴市,越城区,,,,,,
,,,岳阳县,湖南省,岳阳市,岳阳县,,,,,,
,,,岳西县,安徽省,安庆市,岳西县,,,,,,
,,,岳塘区,湖南省,湘潭市,岳塘区,,,,,,
,,,岳麓区,湖南省,长沙市,岳麓区,,,,,,
,,,岳池县,四川省,广安市,岳池县,,,,,,
,,,月湖区,江西省,鹰潭市,月湖区,,,,,,
,,,远安县,湖北省,宜昌市,远安县,,,,,,
,,,源汇区,河南省,漯河市,源汇区,,,,,,
,,,源城区,广东省,河源市,源城区,,,,,,
,,,原州区,宁夏回族自治区,固原市,原州区,,,,,,
,,,原阳县,河南省,新乡市,原阳县,,,,,,
,,,原平市,山西省,忻州市,原平市,,,,,,
,,,袁州区,江西省,宜春市,袁州区,,,,,,
,,,垣曲县,山西省,运城市,垣曲县,,,,,,
,,,沅陵县,湖南省,怀化市,沅陵县,,,,,,
,,,沅江市,湖南省,益阳市,沅江市,,,,,,
,,,元阳县,云南省,红河哈尼族彝族自治州,元阳县,,,,,,
,,,元氏县,河北省,石家庄市,元氏县,,,,,,
,,,元谋县,云南省,楚雄彝族自治州,元谋县,,,,,,
,,,元宝区,辽宁省,丹东市,元宝区,,,,,,
,,,裕民县,新疆维吾尔自治区,塔城地区,裕民县,,,,,,
,,,裕华区,河北省,石家庄市,裕华区,,,,,,
,,,裕安区,安徽省,六安市,裕安区,,,,,,
,,,郁南县,广东省,云浮市,郁南县,,,,,,
